Year,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,New England,Mideast,Great Lakes,Plains,Southeast,Southwest,Rocky Mountain,Far West
1998,18108900,371319,15223,220487,243383,1941979,200214,253945,43771,3890,475743,554195,19148,72009,914428,671064,255398,208118,310244,185917,85222,181369,431716,904411,408825,234316,386154,24837,115024,42792,107859,440942,48052,802733,812743,23093,1058696,177302,238241,894901,74044,346155,43130,513980,1117173,133291,47076,379196,377115,79172,607508,11357,999862,2367606,4156107,1439742,4506363,1563014,441708,2634498
1999,17846900,361668,13839,217168,241210,1901807,196837,245564,44693,3962,471913,548441,19090,73140,893277,677481,257445,205686,312286,181994,84555,178319,418934,917182,407601,233784,380534,25138,113843,43683,105133,426728,46558,780293,795554,23024,1048804,175758,232609,877751,72610,338957,43357,506812,1097455,131884,47535,368432,360662,78109,606407,11394,974331,2311746,4143151,1431490,4439160,1536939,438393,2571690
2000,17750600,353784,13761,219420,240220,1919727,197640,240836,43280,3945,469515,538010,19378,74262,880434,674324,255881,203835,314911,178325,83113,179005,416792,911843,407496,223867,373084,24863,115308,45262,106369,428991,46947,765716,778251,23983,1046727,178043,233467,879394,71771,338640,44031,498790,1103180,130901,48422,363465,347942,77226,604927,11296,967303,2300331,4118255,1423618,4375004,1547590,438962,2579537
2001,16921600,335261,14326,211028,231336,1867740,191860,233275,40171,3765,452618,519607,19542,72476,831800,626153,245631,199980,298078,178189,78734,174404,399034,845420,389674,204440,350953,24436,113289,46319,101279,408397,45736,730571,717563,25150,972326,176089,226468,840880,69709,319570,42386,463947,1067636,127024,48113,351234,331347,74355,570861,11420,930144,2198188,3846560,1367063,4146198,1500489,427216,2505742
2002,15745700,315019,13071,193778,218261,1720515,176916,218460,37820,3356,428817,487834,18413,68874,771559,599062,233073,188905,281207,166754,72282,162277,359935,774177,368628,191684,332411,23178,108768,45959,88690,376900,43812,675738,659481,24871,901817,158860,212393,777521,64402,296122,39903,439983,991865,118810,43483,329548,300282,70857,538631,11029,847252,2057418,3585246,1296559,3885567,1388315,404459,2310633
2003,14975000,299642,13289,185806,210090,1615130,163690,207121,36406,2947,412015,463817,17957,66120,731441,582502,225517,179013,271368,162158,68285,152933,333712,732277,356762,182618,320093,22028,104758,46768,83834,359043,41599,637411,618313,24524,860594,149720,205306,727908,60313,284386,39079,423878,943773,119226,40080,312880,281070,66721,518441,10638,793345,1916648,3425255,1249746,3707886,1320898,381702,2179520
2004,14790900,298438,14020,186909,207945,1601392,161891,204883,35560,2812,416098,462231,18541,66395,713706,582240,228778,181738,269426,158728,67509,149065,322372,711099,355030,183144,321698,22289,103156,49137,83681,347754,40614,621487,597130,25681,842323,149125,210296,706736,58584,272511,40332,423051,934331,122383,39660,306669,278454,65297,517728,10843,776689,1863414,3367096,1256413,3660668,1310979,383801,2171840
2005,14724200,306074,14419,190478,205415,1582808,161156,202466,34065,2482,424253,462353,18542,67324,705724,581791,234919,185459,267920,157479,65180,145593,315674,690497,358792,182032,318931,22766,103891,51579,83835,341645,41013,606766,586808,26972,833471,151278,214590,696654,56734,266068,41480,421934,946742,124726,39515,301387,286343,64227,520761,11189,763404,1827205,3332244,1270444,3645950,1329511,387161,2168281
2006,14675200,309950,15105,195723,203171,1576203,160857,201115,34187,2169,433441,462605,18664,70583,699858,576394,237157,188047,266839,158696,64189,141823,309679,663841,358430,179483,317955,23405,104454,54149,82294,333845,42828,592384,573332,27131,819068,155773,218280,692971,54476,261253,43025,412895,977506,129164,38880,294573,300988,63114,521493,11755,750633,1797379,3280654,1276199,3619352,1371830,395764,2183389
2007,14460800,304225,15372,193259,193681,1546941,159466,199419,34388,2154,423365,448931,19046,71530,693748,562095,235868,192930,262294,164375,64193,139163,306819,639049,354731,173312,312225,23944,104672,54359,82210,319808,42794,581266,561021,27391,796641,157586,216713,680846,52842,257379,43897,395438,988658,134758,39115,285986,310672,61422,516937,11866,744598,1757625,3208470,1271714,3531429,1382297,401564,2163103
2008,13971300,290233,15038,183747,186262,1503156,156266,194828,32764,2030,397728,426002,18309,67910,675931,532997,233278,193116,251414,159466,63296,135453,297562,592683,347892,163357,300192,23417,104365,52050,80222,309268,40635,559387,536518,27566,762415,157193,207650,666825,49821,249636,44585,373235,975575,132698,37863,273792,307379,58930,507770,11595,723592,1705727,3071796,1250994,3366573,1357150,391886,2103582
2009,12478200,254643,15295,165325,166722,1375996,144125,179932,29073,1944,353955,376665,17546,60572,597655,456039,209646,173854,219738,150233,57501,126910,271450,483555,314300,145769,267545,21222,96628,44452,72737,279825,36548,506523,468726,24929,655583,139491,181386,602437,43884,221967,39803,323782,897087,120722,34501,249730,284183,53330,451810,10926,660005,1546712,2644642,1126705,2985260,1238451,357567,1918858
2010,12092900,244202,14940,158837,162730,1322661,138462,173330,27178,1733,334596,361976,16474,58472,578450,460751,206704,166000,215279,144511,55116,122311,265144,491546,305508,139858,254412,19857,94486,41664,69976,269102,34574,483913,449590,23815,644115,132066,176802,585176,42304,214650,38718,312080,864876,118121,33911,240134,275039,51365,444944,10441,639781,1489413,2619806,1089643,2870971,1190353,345353,1847580
2011,12376700,246344,16078,161619,162402,1335428,143652,174427,26854,1625,343147,369871,16790,60198,593732,477820,212405,167302,219773,147999,55597,121135,265566,527684,315540,140273,258548,20675,96880,42571,71204,266029,35740,489437,455959,25182,663987,140147,182471,591597,42411,224294,41288,317379,900530,121300,34250,241373,287011,52062,460095,11019,643455,1496677,2723318,1117145,2920876,1238036,356844,1880349
2012,12596200,252491,16459,166685,159500,1345926,146991,173572,26997,1575,349755,373770,17479,62231,602807,495945,217209,169308,230179,150459,55737,117583,263666,553205,320141,141820,261084,21545,98338,43632,70685,259183,35749,490627,460190,26563,682952,145729,186778,594524,41696,229412,43251,327157,929000,124531,35565,243076,299046,51718,471402,11277,640921,1490489,2806311,1135894,2969527,1277163,366575,1909320
