Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979,14497,14501,14526,14515,14551,14566,14536,14397,14440,14384,14295,14300
1980,14241,14170,14165,13914,13632,13405,13227,13349,13396,13437,13528,13550
1981,13545,13518,13550,13594,13633,13632,13629,13573,13565,13399,13235,13033
1982,12874,12831,12727,12566,12506,12365,12261,12153,12104,11880,11766,11746
1983,11783,11794,11817,11894,11987,12054,12155,12200,12318,12408,12503,12553
1984,12617,12703,12768,12814,12840,12871,12901,12906,12880,12868,12846,12848
1985,12833,12784,12758,12701,12673,12635,12596,12593,12556,12556,12545,12550
1986,12546,12530,12498,12495,12474,12424,12389,12399,12411,12396,12407,12425
1987,12405,12438,12446,12465,12481,12482,12521,12560,12614,12637,12678,12707
1988,12684,12706,12712,12733,12747,12767,12774,12752,12764,12812,12851,12864
1989,12882,12880,12878,12867,12852,12822,12790,12790,12745,12723,12713,12705
1990,12738,12848,12821,12804,12755,12739,12673,12624,12596,12577,12439,12415
1991,12351,12242,12191,12157,12148,12135,12130,12153,12140,12138,12102,12075
1992,12013,12015,12006,12029,12046,12042,12049,12020,12002,11999,12012,12031
1993,12060,12072,12074,12056,12056,12039,12043,12050,12080,12092,12119,12140
1994,12181,12198,12234,12276,12304,12351,12367,12428,12459,12489,12529,12558
1995,12593,12602,12600,12608,12590,12574,12538,12566,12567,12535,12515,12551
1996,12517,12533,12488,12505,12518,12522,12517,12546,12544,12559,12560,12571
1997,12579,12592,12613,12618,12633,12647,12645,12699,12711,12746,12777,12800
1998,12818,12828,12822,12814,12790,12769,12558,12702,12715,12673,12634,12625
1999,12605,12575,12562,12540,12534,12503,12525,12502,12495,12484,12488,12490
2000,12491,12481,12490,12477,12464,12468,12474,12431,12382,12357,12336,12307
2001,12229,12155,12085,11982,11859,11739,11632,11495,11400,11286,11175,11081
2002,10993,10951,10901,10859,10824,10797,10764,10697,10668,10631,10583,10523
2003,10484,10416,10357,10256,10218,10165,10093,10084,10059,10054,10039,10031
2004,10027,10012,10025,10060,10091,10087,10095,10115,10104,10103,10078,10063
2005,10045,10052,10056,10048,10061,10047,10039,10043,10046,10073,10093,10112
2006,10153,10164,10174,10190,10179,10190,10177,10158,10120,10071,10047,10041
2007,10036,10035,10011,10006,10007,9996,9990,9944,9933,9911,9920,9924
2008,9914,9888,9866,9810,9779,9721,9655,9586,9504,9384,9290,9137
2009,8889,8741,8592,8453,8311,8203,8172,8148,8133,8100,8079,8050
2010,8034,8032,8027,8050,8078,8100,8106,8099,8098,8096,8103,8117
2011,8133,8160,8183,8212,8218,8228,8244,8259,8266,8274,8268,8295
2012,8322,8352,8386,8399,8411,8412,8438,8429,8419,8426,8411,8415
2013,8422,8421,8409,8414,8402,8398,8383,8406,8426,8450,8464,8468
2014,8468,8497,8510,8525,8532,8558,8580,8594,8598,8623,8646,8652
2015,8645,8655,8660,8660,8683,8691,8702,8690,8697,8708,8698,8696
2016,8708,8693,8678,8673,8653,8672,8689,8664,8659,8651,8651,8661
2017,8670,8687,8699,8709,8710,8711,8713,8745,8756,8771,8782,8805
2018,8818,8827,8842,8863,8870,8900,8913,8919,8934,8951,8962,8983
2019,9001,9001,8992,8973,8963,8956,8948,8948,8942,8900,8944,8941
2020,8916,8932,8860,7776,7962,8326,8354,8364,8390,8406,8441,8471
