GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,18108900,17846900,17750600,16921600,15745700,14975000,14790900,14724200,14675200,14460800,13971300,12478200,12092900,12376700,12596200,12761200,12907600,13078600,13131900,13233200,13450200,13528000,12807500
Alabama,371319,361668,353784,335261,315019,299642,298438,306074,309950,304225,290233,254643,244202,246344,252491,258984,262500,267881,271192,274115,277594,279250,268115
Alaska,15223,13839,13761,14326,13071,13289,14020,14419,15105,15372,15038,15295,14940,16078,16459,17044,16910,16719,16440,16071,15384,15547,(D)
Arizona,220487,217168,219420,211028,193778,185806,186909,190478,195723,193259,183747,165325,158837,161619,166685,168502,169370,171753,175188,178653,184541,191002,190143
Arkansas,243383,241210,240220,231336,218261,210090,207945,205415,203171,193681,186262,166722,162730,162402,159500,157605,158469,160559,160972,163437,166358,167828,160231
California,1941979,1901807,1919727,1867740,1720515,1615130,1601392,1582808,1576203,1546941,1503156,1375996,1322661,1335428,1345926,1357740,1373857,1399150,1413820,1418968,1424782,1417879,1356003
Colorado,200214,196837,197640,191860,176916,163690,161891,161156,160857,159466,156266,144125,138462,143652,146991,149514,152901,158435,161346,162946,165686,166848,163097
Connecticut,253945,245564,240836,233275,218460,207121,204883,202466,201115,199419,194828,179932,173330,174427,173572,172919,168460,168113,165962,168476,169823,170382,162126
Delaware,43771,44693,43280,40171,37820,36406,35560,34065,34187,34388,32764,29073,27178,26854,26997,26717,27066,28538,27294,27492,28636,28791,26943
District of Columbia,3890,3962,3945,3765,(D),2947,2812,2482,2169,2154,2030,1944,1733,1625,1575,1772,1769,1832,2058,(D),2154,2175,(D)
Florida,475743,471913,469515,452618,428817,412015,416098,424253,433441,423365,397728,353955,334596,343147,349755,360091,369951,383571,398706,409011,418993,429167,419424
Georgia,554195,548441,538010,519607,487834,463817,462231,462353,462605,448931,426002,376665,361976,369871,373770,379019,388857,400255,412372,421818,433129,430522,407281
Hawaii,19148,19090,19378,19542,18413,17957,18541,18542,18664,19046,18309,17546,16474,16790,17479,18178,18278,18427,18886,18817,18535,17877,15736
Idaho,72009,73140,74262,72476,68874,66120,66395,67324,70583,71530,67910,60572,58472,60198,62231,65438,65948,68074,70908,73308,74886,74951,74282
Illinois,914428,893277,880434,831800,771559,731441,713706,705724,699858,693748,675931,597655,578450,593732,602807,601134,600203,602381,596624,596954,607418,605815,573839
Indiana,671064,677481,674324,626153,599062,582502,582240,581791,576394,562095,532997,456039,460751,477820,495945,507253,521929,533812,538717,548323,557116,555755,518385
Iowa,255398,257445,255881,245631,233073,225517,228778,234919,237157,235868,233278,209646,206704,212405,217209,221383,223641,223317,221237,223298,229746,232899,223148
Kansas,208118,205686,203835,199980,188905,179013,181738,185459,188047,192930,193116,173854,166000,167302,169308,170113,169307,168324,167723,168438,171778,173605,165228
Kentucky,310244,312286,314911,298078,281207,271368,269426,267920,266839,262294,251414,219738,215279,219773,230179,237257,242343,249077,256109,258762,259593,260604,243385
Louisiana,185917,181994,178325,178189,166754,162158,158728,157479,158696,164375,159466,150233,144511,147999,150459,153672,156619,153496,146107,145141,146104,147894,141026
Maine,85222,84555,83113,78734,72282,68285,67509,65180,64189,64193,63296,57501,55116,55597,55737,55911,55384,55868,56302,56410,57103,57866,54921
Maryland,181369,178319,179005,174404,162277,152933,149065,145593,141823,139163,135453,126910,122311,121135,117583,116811,113659,114258,114811,117779,120503,121895,118155
Massachusetts,431716,418934,416792,399034,359935,333712,322372,315674,309679,306819,297562,271450,265144,265566,263666,263948,263383,263630,260841,259639,259980,257641,242939
Michigan,904411,917182,911843,845420,774177,732277,711099,690497,663841,639049,592683,483555,491546,527684,553205,572496,592625,611972,627482,642932,655234,651962,579531
Minnesota,408825,407601,407496,389674,368628,356762,355030,358792,358430,354731,347892,314300,305508,315540,320141,323160,327561,333306,334687,335619,338136,338886,323541
Mississippi,234316,233784,223867,204440,191684,182618,183144,182032,179483,173312,163357,145769,139858,140273,141820,142390,145079,147241,149158,150085,150849,152732,145047
Missouri,386154,380534,373084,350953,332411,320093,321698,318931,317955,312225,300192,267545,254412,258548,261084,266371,268889,274756,277832,280358,286967,289858,279010
Montana,24837,25138,24863,24436,23178,22028,22289,22766,23405,23944,23417,21222,19857,20675,21545,22652,23027,23461,24263,24640,25162,25356,24683
Nebraska,115024,113843,115308,113289,108768,104758,103156,103891,104454,104672,104365,96628,94486,96880,98338,100060,100835,100879,100642,101862,103527,103534,100853
Nevada,42792,43683,45262,46319,45959,46768,49137,51579,54149,54359,52050,44452,41664,42571,43632,45766,46739,47751,49646,54008,61598,65381,61576
New Hampshire,107859,105133,106369,101279,88690,83834,83681,83835,82294,82210,80222,72737,69976,71204,70685,71139,71436,72405,73552,74293,75684,75940,71848
New Jersey,440942,426728,428991,408397,376900,359043,347754,341645,333845,319808,309268,279825,269102,266029,259183,258167,257580,253976,259335,261116,263463,266645,252323
New Mexico,48052,46558,46947,45736,43812,41599,40614,41013,42828,42794,40635,36548,34574,35740,35749,35463,34027,34157,33186,32562,33358,34086,32764
New York,802733,780293,765716,730571,675738,637411,621487,606766,592384,581266,559387,506523,483913,489437,490627,491456,487227,489554,487916,481541,478241,472098,432464
North Carolina,812743,795554,778251,717563,659481,618313,597130,586808,573332,561021,536518,468726,449590,455959,460190,465468,471440,483719,489131,490976,497391,499221,473201
North Dakota,23093,23024,23983,25150,24871,24524,25681,26972,27131,27391,27566,24929,23815,25182,26563,26963,27495,27091,26287,26450,27705,28216,26884
Ohio,1058696,1048804,1046727,972326,901817,860594,842323,833471,819068,796641,762415,655583,644115,663987,682952,691668,702147,714989,715648,716491,728885,728797,680086
Oklahoma,177302,175758,178043,176089,158860,149720,149125,151278,155773,157586,157193,139491,132066,140147,145729,148068,150943,148292,140482,139842,149600,150057,139945
Oregon,238241,232609,233467,226468,212393,205306,210296,214590,218280,216713,207650,181386,176802,182471,186778,191665,195443,202396,206017,207377,211719,212874,200504
Pennsylvania,894901,877751,879394,840880,777521,727908,706736,696654,692971,680846,666825,602437,585176,591597,594524,593892,596932,597769,590824,593734,600739,603478,565106
Rhode Island,74044,72610,71771,69709,64402,60313,58584,56734,54476,52842,49821,43884,42304,42411,41696,42273,43148,43540,42868,42751,42635,41878,39437
South Carolina,346155,338957,338640,319570,296122,284386,272511,266068,261253,257379,249636,221967,214650,224294,229412,233944,239556,245290,248135,250280,259602,267934,253326
South Dakota,43130,43357,44031,42386,39903,39079,40332,41480,43025,43897,44585,39803,38718,41288,43251,43783,44618,44853,44723,45605,46918,47322,45407
Tennessee,513980,506812,498790,463947,439983,423878,423051,421934,412895,395438,373235,323782,312080,317379,327157,333441,339374,347272,359615,364096,366623,369976,349120
Texas,1117173,1097455,1103180,1067636,991865,943773,934331,946742,977506,988658,975575,897087,864876,900530,929000,947396,959286,953125,924547,933430,963589,985393,943627
Utah,133291,131884,130901,127024,118810,119226,122383,124726,129164,134758,132698,120722,118121,121300,124531,127520,129555,132968,135959,139209,142948,146436,145477
Vermont,47076,47535,48422,48113,43483,40080,39660,39515,38880,39115,37863,34501,33911,34250,35565,35810,35068,34822,34087,33689,33734,33609,31765
Virginia,379196,368432,363465,351234,329548,312880,306669,301387,294573,285986,273792,249730,240134,241373,243076,244072,244742,247113,247137,248794,254239,256967,247150
Washington,377115,360662,347942,331347,300282,281070,278454,286343,300988,310672,307379,284183,275039,287011,299046,307428,308520,311711,311434,305074,307317,311480,289614
West Virginia,79172,78109,77226,74355,70857,66721,65297,64227,63114,61422,58930,53330,51365,52062,51718,51308,50585,50408,49752,49437,49612,49422,46837
Wisconsin,607508,606407,604927,570861,538631,518441,517728,520761,521493,516937,507770,451810,444944,460095,471402,474764,481146,484396,482400,485242,492717,499889,474090
Wyoming,11357,11394,11296,11420,(D),10638,10843,11189,11755,11866,11595,10926,10441,11019,11277,11612,11773,11918,11540,(D),12166,12380,11806
New England,999862,974331,967303,930144,847252,793345,776689,763404,750633,744598,723592,660005,639781,643455,640921,642000,636879,638378,633612,635258,638959,637316,603036
Mideast,2367606,2311746,2300331,2198188,(D),1916648,1863414,1827205,1797379,1757625,1705727,1546712,1489413,1496677,1490489,1488815,1484233,1485927,1482238,(D),1493736,1495082,(D)
Great Lakes,4156107,4143151,4118255,3846560,3585246,3425255,3367096,3332244,3280654,3208470,3071796,2644642,2619806,2723318,2806311,2847315,2898050,2947550,2960871,2989942,3041370,3042218,2825931
Plains,1439742,1431490,1423618,1367063,1296559,1249746,1256413,1270444,1276199,1271714,1250994,1126705,1089643,1117145,1135894,1151833,1162346,1172526,1173131,1181630,1204777,1214320,1164071
Southeast,4506363,4439160,4375004,4146198,3885567,3707886,3660668,3645950,3619352,3531429,3366573,2985260,2870971,2920876,2969527,3017251,3069515,3135882,3188386,3225952,3280087,3311517,3154143
Southwest,1563014,1536939,1547590,1500489,1388315,1320898,1310979,1329511,1371830,1382297,1357150,1238451,1190353,1238036,1277163,1299429,1313626,1307327,1273403,1284487,1331088,1360538,1306479
Rocky Mountain,441708,438393,438962,427216,(D),381702,383801,387161,395764,401564,391886,357567,345353,356844,366575,376736,383204,394856,404016,(D),420848,425971,419345
Far West,2634498,2571690,2579537,2505742,2310633,2179520,2171840,2168281,2183389,2163103,2103582,1918858,1847580,1880349,1909320,1937821,1959747,1996154,2016243,2020315,2039335,2041038,(D)
