GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,1887900,1873500,1974100,1954300,1942600,1899500,1953300,2048700,2107300,2170600,2051900,1944900,1910600,1969100,2000600,2049900,2098700,2185900,2143300,2186100,2270800,2327100,2253500
Alabama,41508,40967,42204,41363,40336,38867,(D),41404,42308,42335,39027,35889,35422,35476,35325,35838,36163,37106,36709,37542,38767,39392,38364
Alaska,3472,3260,3367,3452,3667,3659,3846,3928,4094,4229,4005,4025,3931,3884,3822,3917,3575,3567,3455,3222,3260,3342,3252
Arizona,22667,22908,24094,24168,25253,25039,25926,28297,29509,30324,28553,26999,26357,27455,28467,28774,29078,31008,31413,31993,33803,35327,35426
Arkansas,39946,39883,40809,42252,45047,43664,43534,45429,46457,47615,44091,40482,40522,41340,41027,40297,40716,41538,40459,39680,40662,41480,40078
California,177803,174454,183373,178916,181063,178740,186863,195941,202744,212553,202574,196986,192074,197509,200025,209006,214529,220570,219422,226438,236965,244742,243754
Colorado,24394,23606,25195,24713,24870,24014,24448,26032,26826,28018,26903,25810,25255,26125,26691,27491,28794,29754,28625,29160,30095,30380,29689
Connecticut,10090,9925,10611,10347,10018,9625,9960,10324,10221,10432,9805,9001,8751,9141,9078,9245,9486,9978,9995,10325,10818,11281,10937
Delaware,3996,4193,4155,3881,3917,3903,4056,3762,3780,3983,3674,3297,3168,3275,3292,3345,3245,3538,3425,3542,3689,3970,3817
District of Columbia,370,358,370,337,363,374,338,365,387,371,344,325,351,340,306,344,292,487,443,440,592,357,336
Florida,76660,74754,79769,80376,81894,79851,83910,91727,93739,93811,85472,81669,78943,82265,83807,89007,93053,101012,101796,107380,115397,121085,119929
Georgia,63841,63707,66715,66557,65541,64558,66521,70278,72947,75727,72749,68377,68100,69826,70748,73400,75730,80039,79335,82998,86783,90979,89452
Hawaii,3135,3200,3310,3347,3354,3468,3445,3759,3792,3926,3807,3460,3384,3428,3467,3524,3641,3698,3735,3777,3716,3762,3552
